

Task: shape
Held out from train set:
3 shape classes: ['M', 'E', 'F']
3 texture classes: ['N', 'Y', 'A']

Shape class-texture class pairings:

A-N: 5/5 (1.0) in val
A-Y: 5/5 (1.0) in val
B-A: 5/5 (1.0) in val
B-N: 5/5 (1.0) in val
B-Y: 5/5 (1.0) in val
C-A: 5/5 (1.0) in val
C-N: 5/5 (1.0) in val
C-Y: 5/5 (1.0) in val
D-A: 5/5 (1.0) in val
D-N: 5/5 (1.0) in val
D-Y: 5/5 (1.0) in val
G-A: 5/5 (1.0) in val
G-N: 5/5 (1.0) in val
G-Y: 5/5 (1.0) in val
H-A: 5/5 (1.0) in val
H-N: 5/5 (1.0) in val
H-Y: 5/5 (1.0) in val
I-A: 5/5 (1.0) in val
I-N: 5/5 (1.0) in val
I-Y: 5/5 (1.0) in val
J-A: 5/5 (1.0) in val
J-N: 5/5 (1.0) in val
J-Y: 5/5 (1.0) in val
K-A: 5/5 (1.0) in val
K-N: 5/5 (1.0) in val
K-Y: 5/5 (1.0) in val
L-A: 5/5 (1.0) in val
L-N: 5/5 (1.0) in val
L-Y: 5/5 (1.0) in val
N-A: 5/5 (1.0) in val
N-Y: 5/5 (1.0) in val
O-A: 5/5 (1.0) in val
O-N: 5/5 (1.0) in val
O-Y: 5/5 (1.0) in val
P-A: 5/5 (1.0) in val
P-N: 5/5 (1.0) in val
P-Y: 5/5 (1.0) in val
Q-A: 5/5 (1.0) in val
Q-N: 5/5 (1.0) in val
Q-Y: 5/5 (1.0) in val
R-A: 5/5 (1.0) in val
R-N: 5/5 (1.0) in val
R-Y: 5/5 (1.0) in val
S-A: 5/5 (1.0) in val
S-N: 5/5 (1.0) in val
S-Y: 5/5 (1.0) in val
T-A: 5/5 (1.0) in val
T-N: 5/5 (1.0) in val
T-Y: 5/5 (1.0) in val
U-A: 5/5 (1.0) in val
U-N: 5/5 (1.0) in val
U-Y: 5/5 (1.0) in val
V-A: 5/5 (1.0) in val
V-N: 5/5 (1.0) in val
V-Y: 5/5 (1.0) in val
W-A: 5/5 (1.0) in val
W-N: 5/5 (1.0) in val
W-Y: 5/5 (1.0) in val
X-A: 5/5 (1.0) in val
X-N: 5/5 (1.0) in val
X-Y: 5/5 (1.0) in val
Y-A: 5/5 (1.0) in val
Y-N: 5/5 (1.0) in val
Z-A: 5/5 (1.0) in val
Z-N: 5/5 (1.0) in val
Z-Y: 5/5 (1.0) in val
A-B: 0/5 (0.0) in val
A-C: 0/5 (0.0) in val
A-D: 0/5 (0.0) in val
A-E: 0/5 (0.0) in val
A-F: 0/5 (0.0) in val
A-G: 0/5 (0.0) in val
A-H: 0/5 (0.0) in val
A-I: 0/5 (0.0) in val
A-J: 0/5 (0.0) in val
A-K: 0/5 (0.0) in val
A-L: 0/5 (0.0) in val
A-M: 0/5 (0.0) in val
A-O: 0/5 (0.0) in val
A-P: 0/5 (0.0) in val
A-Q: 0/5 (0.0) in val
A-R: 0/5 (0.0) in val
A-S: 0/5 (0.0) in val
A-T: 0/5 (0.0) in val
A-U: 0/5 (0.0) in val
A-V: 0/5 (0.0) in val
A-W: 0/5 (0.0) in val
A-X: 0/5 (0.0) in val
A-Z: 0/5 (0.0) in val
B-C: 0/5 (0.0) in val
B-D: 0/5 (0.0) in val
B-E: 0/5 (0.0) in val
B-F: 0/5 (0.0) in val
B-G: 0/5 (0.0) in val
B-H: 0/5 (0.0) in val
B-I: 0/5 (0.0) in val
B-J: 0/5 (0.0) in val
B-K: 0/5 (0.0) in val
B-L: 0/5 (0.0) in val
B-M: 0/5 (0.0) in val
B-O: 0/5 (0.0) in val
B-P: 0/5 (0.0) in val
B-Q: 0/5 (0.0) in val
B-R: 0/5 (0.0) in val
B-S: 0/5 (0.0) in val
B-T: 0/5 (0.0) in val
B-U: 0/5 (0.0) in val
B-V: 0/5 (0.0) in val
B-W: 0/5 (0.0) in val
B-X: 0/5 (0.0) in val
B-Z: 0/5 (0.0) in val
C-B: 0/5 (0.0) in val
C-D: 0/5 (0.0) in val
C-E: 0/5 (0.0) in val
C-F: 0/5 (0.0) in val
C-G: 0/5 (0.0) in val
C-H: 0/5 (0.0) in val
C-I: 0/5 (0.0) in val
C-J: 0/5 (0.0) in val
C-K: 0/5 (0.0) in val
C-L: 0/5 (0.0) in val
C-M: 0/5 (0.0) in val
C-O: 0/5 (0.0) in val
C-P: 0/5 (0.0) in val
C-Q: 0/5 (0.0) in val
C-R: 0/5 (0.0) in val
C-S: 0/5 (0.0) in val
C-T: 0/5 (0.0) in val
C-U: 0/5 (0.0) in val
C-V: 0/5 (0.0) in val
C-W: 0/5 (0.0) in val
C-X: 0/5 (0.0) in val
C-Z: 0/5 (0.0) in val
D-B: 0/5 (0.0) in val
D-C: 0/5 (0.0) in val
D-E: 0/5 (0.0) in val
D-F: 0/5 (0.0) in val
D-G: 0/5 (0.0) in val
D-H: 0/5 (0.0) in val
D-I: 0/5 (0.0) in val
D-J: 0/5 (0.0) in val
D-K: 0/5 (0.0) in val
D-L: 0/5 (0.0) in val
D-M: 0/5 (0.0) in val
D-O: 0/5 (0.0) in val
D-P: 0/5 (0.0) in val
D-Q: 0/5 (0.0) in val
D-R: 0/5 (0.0) in val
D-S: 0/5 (0.0) in val
D-T: 0/5 (0.0) in val
D-U: 0/5 (0.0) in val
D-V: 0/5 (0.0) in val
